interface,in,out
core-87-po40,3110.976,3626.016
core-87-po27,2557.316,2554.821
core-87-po22,1745.523,1746.246
core-87-po32,2415.481,717.737
core-87-2-17,1362.122,1320.307
core-87-3-17,1211.637,1251.212
core-87-2-24,863.096,1558.426
core-87-2-19,1283.464,1046.335
core-87-3-24,1077.246,1103.333
core-87-8-2,1263.915,307.996
core-87-3-2,1158.582,404.887
core-87-3-4,651.355,641.003
core-87-3-7,620.703,609.542
core-87-2-21,578.058,594.509
core-87-3-5,570.181,562.289
core-87-3-6,560.405,552.371
core-87-3-21,453.204,500.881
core-87-8-1,488.613,381.934
core-87-3-1,282.862,383.127
core-87-11-2,485.958,29.753
core-87-5-20,53.809,214.482
core-87-4-6,29.092,182.929
core-87-4-13,47.169,116.877
core-87-4-37,6.196,157.427
core-87-2-5,72.129,70.801
core-87-4-19,12.105,106.534
core-87-po29,78.777,37.314
core-87-4-35,6.915,100.169
core-87-4-43,12.463,90.207
core-87-2-7,50.628,51.534
core-87-5-22,21.516,77.936
core-87-4-38,14.476,84.382
core-87-4-18,7.794,89.502
core-87-2-4,48.252,47.886
core-87-3-8,48.170,47.170
core-87-4-31,8.650,82.944
core-87-4-9,26.853,63.664
core-87-2-16,83.852,5.397
core-87-6-3,82.061,1.382
core-87-4-10,5.797,70.751
core-87-po5,52.228,23.231
core-87-4-44,5.448,57.715
core-87-8-4,29.726,32.634
core-87-4-8,9.173,53.099
core-87-11-6,45.398,16.001
core-87-4-41,5.647,54.031
core-87-4-2,29.739,29.770
core-87-1-41,57.039,1.297
core-87-4-11,5.836,51.525
core-87-4-27,4.871,50.099
core-87-4-21,8.084,45.278
core-87-6-21,25.567,26.698
core-87-11-3,18.475,32.516
core-87-5-13,3.335,47.198
core-87-4-23,5.499,43.387
core-87-5-18,31.974,15.322
core-87-4-39,5.367,41.857
core-87-3-16,8.510,38.154
core-87-8-13,43.357,2.032
core-87-4-36,2.807,42.219
core-87-8-15,39.398,4.072
core-87-4-17,8.094,34.546
core-87-1-22,0.000,41.790
core-87-1-19,0.000,41.790
core-87-4-22,5.384,36.069
core-87-2-1,0.000,41.359
core-87-2-13,25.413,15.287
core-87-5-21,18.209,21.499
core-87-4-29,3.762,35.056
core-87-2-8,19.152,19.426
core-87-4-42,5.622,32.016
core-87-4-7,10.935,25.513
core-87-4-30,8.146,27.650
core-87-7-23,32.813,0.753
core-87-2-9,16.791,16.691
core-87-4-12,6.179,26.214
core-87-4-33,5.220,25.718
core-87-8-3,26.159,4.659
core-87-2-10,13.125,13.214
core-87-4-24,4.649,21.350
core-87-6-37,5.030,19.876
core-87-8-12,17.360,7.515
core-87-7-14,2.105,22.285
core-87-4-32,2.297,19.240
core-87-4-34,3.390,18.082
core-87-4-40,2.144,18.230
core-87-po4,0.655,19.052
core-87-8-9,11.554,7.504
core-87-6-15,15.891,1.809
core-87-11-1,1.641,15.226
core-87-3-14,6.346,9.555
core-87-6-32,0.541,15.339
core-87-6-22,2.461,13.379
core-87-4-25,2.349,13.489
core-87-6-43,14.146,0.872
core-87-8-6,7.010,7.738
core-87-6-9,1.758,12.802
core-87-8-8,5.540,8.331
core-87-1-4,11.055,2.696
core-87-2-11,6.452,7.283
core-87-po30,5.226,8.354
core-87-4-28,0.714,11.882
core-87-4-20,2.532,9.922
core-87-7-24,10.892,1.164
core-87-4-45,1.678,10.337
core-87-8-14,4.162,7.533
core-87-6-23,1.748,8.823
core-87-5-24,0.628,9.937
core-87-po44,2.053,8.498
core-87-po3,8.236,2.119
core-87-6-44,4.582,5.764
core-87-2-12,5.098,5.063
core-87-6-1,7.515,0.765
core-87-5-5,0.529,7.626
core-87-4-46,0.249,7.632
core-87-8-21,1.373,6.407
core-87-2-6,3.591,3.866
core-87-3-12,3.636,3.792
core-87-5-4,0.221,6.955
core-87-5-1,0.620,6.180
core-87-po45,1.029,5.565
core-87-5-6,1.026,5.237
core-87-4-16,1.213,4.410
core-87-11-23,0.845,4.583
core-87-7-8,0.798,4.147
core-87-7-32,0.133,3.510
core-87-7-16,3.349,0.188
core-87-7-5,0.514,2.943
core-87-7-13,0.434,2.981
core-87-6-6,0.860,2.340
core-87-5-2,0.485,2.580
core-87-5-34,0.332,2.729
core-87-5-41,0.322,2.690
core-87-6-12,0.402,2.530
core-87-8-7,0.408,2.218
core-87-1-23,2.147,0.076
core-87-7-1,0.852,1.366
core-87-5-19,0.529,1.677
core-87-po28,0.042,2.157
core-87-11-21,0.524,1.481
core-87-5-23,1.212,0.684
core-87-1-1,0.387,1.451
core-87-6-45,0.258,1.526
core-87-po21,0.797,0.803
core-87-2-14,0.571,0.937
core-87-5-3,0.375,1.085
core-87-3-18,0.020,1.185
core-87-8-23,0.220,0.973
core-87-7-12,0.227,0.960
core-87-7-4,0.279,0.834
core-87-4-47,0.231,0.820
core-87-2-20,0.556,0.449
core-87-7-3,0.260,0.739
core-87-2-18,0.022,0.968
core-87-5-33,0.549,0.368
core-87-5-14,0.271,0.641
core-87-6-26,0.527,0.368
core-87-7-15,0.396,0.493
core-87-6-39,0.211,0.668
core-87-1-17,0.526,0.350
core-87-4-26,0.002,0.868
core-87-5-11,0.520,0.350
core-87-6-14,0.491,0.362
core-87-6-20,0.243,0.597
core-87-6-19,0.237,0.601
core-87-7-11,0.242,0.568
core-87-7-29,0.371,0.425
core-87-5-12,0.128,0.613
core-87-6-40,0.347,0.392
core-87-5-45,0.082,0.643
core-87-7-7,0.312,0.387
core-87-6-46,0.300,0.385
core-87-1-45,0.356,0.325
core-87-5-16,0.240,0.421
core-87-5-38,0.047,0.611
core-87-7-9,0.271,0.368
core-87-7-19,0.073,0.549
core-87-4-3,0.253,0.368
core-87-5-36,0.327,0.277
core-87-po35,0.370,0.225
core-87-8-10,0.288,0.281
core-87-7-10,0.238,0.295
core-87-4-48,0.119,0.404
core-87-5-43,0.148,0.343
core-87-6-36,0.103,0.369
core-87-5-39,0.013,0.434
core-87-6-5,0.094,0.342
core-87-7-17,0.152,0.277
core-87-3-20,0.157,0.271
core-87-1-13,0.007,0.407
core-87-6-7,0.147,0.259
core-87-2-3,0.010,0.390
core-87-3-3,0.015,0.376
core-87-5-44,0.187,0.204
core-87-3-9,0.008,0.370
core-87-5-7,0.089,0.288
core-87-6-29,0.102,0.268
core-87-6-48,0.237,0.128
core-87-4-4,0.081,0.283
core-87-1-40,0.175,0.189
core-87-7-20,0.013,0.329
core-87-6-34,0.074,0.262
core-87-5-32,0.132,0.170
core-87-5-30,0.093,0.204
core-87-5-35,0.081,0.208
core-87-6-13,0.025,0.252
core-87-8-5,0.090,0.182
core-87-6-8,0.041,0.226
core-87-8-11,0.125,0.128
core-87-5-8,0.060,0.186
core-87-6-4,0.018,0.221
core-87-7-48,0.136,0.100
core-87-6-47,0.053,0.181
core-87-5-31,0.063,0.168
core-87-6-33,0.019,0.209
core-87-6-11,0.017,0.209
core-87-6-38,0.009,0.208
core-87-1-24,0.109,0.104
core-87-5-40,0.007,0.202
core-87-6-18,0.008,0.201
core-87-6-16,0.004,0.195
core-87-1-39,0.116,0.072
core-87-5-9,0.062,0.120
core-87-5-37,0.059,0.123
core-87-1-12,0.002,0.146
core-87-1-14,0.002,0.146
core-87-6-24,0.029,0.119
core-87-6-10,0.018,0.126
core-87-1-38,0.077,0.066
core-87-7-22,0.018,0.124
core-87-1-15,0.005,0.136
core-87-1-20,0.000,0.137
core-87-1-16,0.002,0.129
core-87-7-18,0.015,0.114
core-87-5-10,0.006,0.119
core-87-11-4,0.000,0.116
core-87-1-37,0.028,0.087
core-87-1-18,0.066,0.047
core-87-6-35,0.001,0.108
core-87-1-31,0.060,0.047
core-87-6-31,0.006,0.095
core-87-5-27,0.001,0.099
core-87-1-21,0.000,0.095
core-87-1-11,0.005,0.054
core-87-5-47,0.003,0.052
core-87-1-5,0.001,0.045
core-87-1-9,0.001,0.039
core-87-1-2,0.001,0.037
core-87-1-10,0.000,0.037
core-87-1-6,0.000,0.036
core-87-1-30,0.000,0.036
core-87-1-29,0.000,0.036
core-87-1-28,0.000,0.036
core-87-1-3,0.000,0.036
core-87-6-27,0.015,0.020
core-87-1-8,0.003,0.006
core-87-1-7,0.003,0.006
core-87-po10,0.005,0.004
core-87-6-2,0.003,0.002
core-87-7-2,0.003,0.002
core-87-1-32,0.000,0.004
core-87-1-27,0.000,0.002
core-87-mgmt0,0.001,0.000
core-87-5-42,0.000,0.000
core-87-11-20,0.000,0.000
core-87-7-38,0.000,0.000
core-87-7-21,0.000,0.000
core-87-1-44,0.000,0.000
core-87-11-15,0.000,0.000
core-87-5-46,0.000,0.000
core-87-5-48,0.000,0.000
core-87-11-17,0.000,0.000
core-87-11-13,0.000,0.000
core-87-6-17,0.000,0.000
core-87-11-16,0.000,0.000
core-87-3-19,0.000,0.000
core-87-1-43,0.000,0.000
core-87-7-36,0.000,0.000
core-87-1-47,0.000,0.000
core-87-2-15,0.000,0.000
core-87-2-22,0.000,0.000
core-87-11-14,0.000,0.000
core-87-1-34,0.000,0.000
core-87-7-33,0.000,0.000
core-87-5-28,0.000,0.000
core-87-7-26,0.000,0.000
core-87-4-1,0.000,0.000
core-87-4-14,0.000,0.000
core-87-7-34,0.000,0.000
core-87-4-5,0.000,0.000
core-87-11-18,0.000,0.000
core-87-3-13,0.000,0.000
core-87-7-6,0.000,0.000
core-87-7-40,0.000,0.000
core-87-7-41,0.000,0.000
core-87-11-11,0.000,0.000
core-87-1-36,0.000,0.000
core-87-11-19,0.000,0.000
core-87-6-25,0.000,0.000
core-87-11-12,0.000,0.000
core-87-1-33,0.000,0.000
core-87-1-26,0.000,0.000
core-87-5-29,0.000,0.000
core-87-4-15,0.000,0.000
core-87-5-25,0.000,0.000
core-87-7-43,0.000,0.000
core-87-5-26,0.000,0.000
core-87-6-42,0.000,0.000
core-87-1-46,0.000,0.000
core-87-7-46,0.000,0.000
core-87-6-28,0.000,0.000
core-87-3-22,0.000,0.000
core-87-7-31,0.000,0.000
core-87-11-24,0.000,0.000
core-87-11-5,0.000,0.000
core-87-7-44,0.000,0.000
core-87-7-30,0.000,0.000
core-87-1-35,0.000,0.000
core-87-8-19,0.000,0.000
core-87-7-28,0.000,0.000
core-87-7-47,0.000,0.000
core-87-3-23,0.000,0.000
core-87-7-39,0.000,0.000
core-87-11-22,0.000,0.000
core-87-1-48,0.000,0.000
core-87-5-17,0.000,0.000
core-87-11-10,0.000,0.000
core-87-8-16,0.000,0.000
core-87-7-25,0.000,0.000
core-87-2-23,0.000,0.000
core-87-1-42,0.000,0.000
core-87-7-37,0.000,0.000
core-87-8-22,0.000,0.000
core-87-7-35,0.000,0.000
core-87-6-30,0.000,0.000
core-87-3-10,0.000,0.000
core-87-7-27,0.000,0.000
core-87-8-24,0.000,0.000
core-87-11-7,0.000,0.000
core-87-8-17,0.000,0.000
core-87-11-8,0.000,0.000
core-87-1-25,0.000,0.000
core-87-11-9,0.000,0.000
core-87-8-20,0.000,0.000
core-87-8-18,0.000,0.000
core-87-5-15,0.000,0.000
core-87-3-15,0.000,0.000
core-87-6-41,0.000,0.000
core-87-7-45,0.000,0.000
core-87-7-42,0.000,0.000
core-87-3-11,0.000,0.000
core-87-po25,NaN,NaN
core-87-po2,NaN,NaN
core-87-po26,NaN,NaN
core-87-po34,NaN,NaN
